WKT,Nome,Pais,Continente,Vertente principal,Subvertentes,Status
"POINT (24.284814 -31.388542)",Alien Safari,África do Sul,África,Psytrance - multigênero,"Full on, Prog, Night, Forest",Inativo
"POINT (11.4979 48.7904)",Nature Frequencies,Alemanha,Europa,Psytrance - multigênero,"Full on, Prog, Night, Forest",Inativo
"POINT (11.4153 53.2623)",Indian Spirit,Alemanha,Europa,Psytrance - multigênero,"Full on, Prog, Night, Forest",Ativo
"POINT (12.3821 52.7388)",Antaris Project,Alemanha,Europa,Psytrance - multigênero,"Full on, Prog, Night, Forest",Inativo
"POINT (12.1538 52.8625)",Vuuv Festival,Alemanha,Europa,Psytrance - multigênero,"Full on, Prog, Night, Forest",Ativo
"POINT (-58.172867 -34.17276)",Chakra Psy Festival,Argentina,América do Sul,Psytrance - multigênero,"Full on, Prog, Night, Forest",Ativo
"POINT (-58.872331 -35.160846)",Nighters Unity,Argentina,América do Sul,Psytrance - multigênero,"Full on, Prog, Night, Forest",Inativo
"POINT (-68.133044 -40.7462131)",Ganesha Trance,Argentina,América do Sul,Psytrance - multigênero,"Full on, Prog, Night, Forest",Inativo
"POINT (-61.16462 -32.88964)",Fractal Research,Argentina,América do Sul,Psytrance - multigênero,"Full on, Prog, Night, Forest",Inativo
"POINT (-59.05887 -34.792092)",Psychedelic Resistance,Argentina,América do Sul,Psytrance - multigênero,"Full on, Prog, Night, Forest",Ativo
"POINT (-64.190227 -31.567992)",Earthdance Argentina,Argentina,América do Sul,Psytrance - multigênero,"Full on, Prog, Night, Forest",Inativo
"POINT (121.995408 -31.979072)",Universal Frequencies,Austrália,Oceania,Psytrance - multigênero,"Full on, Prog, Night, Forest",Ativo
"POINT (145.374314 -32.276796)",Rainbow,Austrália,Oceania,Psytrance - multigênero,"Full on, Prog, Night, Forest",Inativo
"POINT (-68.007017 -16.575838)",Totem,Bolívia,América do Sul,Psytrance - multigênero,"Full on, Prog, Night, Forest",Ativo
"POINT (-60.145092 -2.548959)",Jacundá Trance Festival,Brasil,América do Sul,Psytrance - multigênero,"Full on, Prog, Night, Forest",Inativo
"POINT (-45.170907 -23.100547)",Mundo de Oz,Brasil,América do Sul,Psytrance - multigênero,"Full on, Prog, Night, Forest",Ativo
